Column,Missing_Percentage
ACS_PCT_HH_SMARTPHONE_ONLY,2.545365260499486
ACS_PCT_HH_TABLET,2.545365260499486
ACS_PCT_HH_TABLET_ONLY,2.545365260499486
ACS_PCT_HH_PC,2.545365260499486
ACS_PCT_HH_PC_ONLY,2.545365260499486
ACS_PCT_HH_OTHER_COMP,2.545365260499486
ACS_PCT_HH_OTHER_COMP_ONLY,2.545365260499486
ACS_PCT_HH_INTERNET,2.545365260499486
ACS_PCT_HH_INTERNET_NO_SUBS,2.545365260499486
ACS_PCT_HH_BROADBAND,2.545365260499486
ACS_PCT_HH_BROADBAND_ONLY,2.545365260499486
ACS_PCT_HH_BROADBAND_ANY,2.545365260499486
ACS_PCT_HH_CELLULAR,2.545365260499486
ACS_PCT_HH_CELLULAR_ONLY,2.545365260499486
ACS_PCT_HH_NO_INTERNET,2.545365260499486
ACS_PCT_HH_SAT_INTERNET,2.545365260499486
ACS_PCT_HH_DIAL_INTERNET_ONLY,2.545365260499486
ACS_PCT_CHILD_1FAM,3.134645963894865
ACS_PCT_CHILDREN_GRANDPARENT,2.8060985875970443
ACS_PCT_GRANDP_RESPS_NO_P,20.22612477785053
ACS_PCT_GRANDP_RESPS_P,20.22612477785053
ACS_PCT_GRANDP_NO_RESPS,20.22612477785053
ACS_PCT_HH_KID_1PRNT,2.545365260499486
ACS_PCT_DIVORCED_F,2.3489383593676925
ACS_PCT_DIVORCED_M,2.2822935179122625
ACS_PCT_MARRIED_SP_AB_F,2.3489383593676925
ACS_PCT_MARRIED_SP_AB_M,2.2822935179122625
ACS_PCT_MARRIED_SP_PR_F,2.3489383593676925
ACS_PCT_MARRIED_SP_PR_M,2.2822935179122625
ACS_PCT_NVR_MARRIED_F,2.3489383593676925
ACS_PCT_NVR_MARRIED_M,2.2822935179122625
ACS_PCT_WIDOWED_F,2.3489383593676925
ACS_PCT_WIDOWED_M,2.2822935179122625
ACS_PCT_POP_SAME_SEX_UNMRD_P,2.2565709475259563
ACS_PCT_POP_SAME_SEX_SPOUSE,2.2565709475259563
ACS_PCT_ADMIN,2.428444486016275
ACS_PCT_ARMED_FORCES,2.2565709475259563
ACS_PCT_ART,2.428444486016275
ACS_PCT_CONSTRUCT,2.428444486016275
ACS_PCT_EDUC,2.428444486016275
ACS_PCT_EMPLOYED,2.4237676550369467
ACS_PCT_FINANCE,2.428444486016275
ACS_PCT_GOVT,2.428444486016275
ACS_PCT_INFORM,2.428444486016275
ACS_PCT_MANUFACT,2.428444486016275
ACS_PCT_NATURE,2.428444486016275
ACS_PCT_NOT_LABOR,2.2565709475259563
ACS_PCT_OTHER,2.428444486016275
ACS_PCT_PROFESS,2.428444486016275
ACS_PCT_PVT_NONPROFIT,2.428444486016275
ACS_PCT_PVT_PROFIT,2.428444486016275
ACS_PCT_RETAIL,2.428444486016275
ACS_PCT_TRANSPORT,2.428444486016275
ACS_PCT_UNEMPLOY,2.4237676550369467
ACS_PCT_VET_LABOR_FORCE_18_64,6.144186699092695
ACS_PCT_VET_UNEMPL_18_64,9.193480497614816
ACS_PCT_WHOLESALE,2.428444486016275
ACS_PCT_WORK_RES_F,2.4892432887475446
ACS_PCT_WORK_RES_M,2.4646899261060704
ACS_GINI_INDEX,2.6435787110653823
ACS_MDN_GRNDPRNT_NO_PRNT_INC,97.3739594051071
ACS_MDN_GRNDPRNT_INC,89.12286034982696
ACS_MEDIAN_HH_INC_AIAN,96.60462070900758
ACS_MEDIAN_HH_INC_ASIAN,73.63202693854643
ACS_MEDIAN_HH_INC_BLACK,60.90169301281452
ACS_MEDIAN_HH_INC_HISP,49.8760639790478
ACS_MEDIAN_HH_INC_MULTI,73.01819287250959
ACS_MEDIAN_HH_INC_NHPI,99.57440838088112
ACS_MEDIAN_HH_INC_OTHER,80.39004770367599
ACS_MEDIAN_HH_INC_WHITE,9.47292114862969
ACS_MEDIAN_HH_INC,3.0644934992049384
ACS_MEDIAN_INC_F,3.3065195023851834
ACS_MEDIAN_INC_M,3.1276307174258724
ACS_MEDIAN_NONVET_INC,2.608502478720419
ACS_MEDIAN_VET_INC,23.250865213731174
ACS_PCT_INC50_ABOVE65,2.8879431297352913
ACS_PCT_INC50_BELOW17,3.0352633055841363
ACS_PCT_HEALTH_INC_BELOW137,2.4880740810027127
ACS_PCT_HEALTH_INC_138_199,2.4880740810027127
ACS_PCT_HEALTH_INC_200_399,2.4880740810027127
ACS_PCT_HEALTH_INC_ABOVE400,2.4880740810027127
ACS_PCT_HH_INC_10000,2.545365260499486
ACS_PCT_HH_INC_100000,2.545365260499486
ACS_PCT_HH_INC_14999,2.545365260499486
ACS_PCT_HH_INC_24999,2.545365260499486
ACS_PCT_HH_INC_49999,2.545365260499486
ACS_PCT_HH_INC_99999,2.545365260499486
ACS_PCT_INC50,2.4880740810027127
ACS_PCT_NONVET_POV_18_64,2.506781404920026
ACS_PCT_VET_POV_18_64,6.551070994294267
ACS_PCT_PERSON_INC_100_124,2.4880740810027127
ACS_PCT_PERSON_INC_125_199,2.4880740810027127
ACS_PCT_PERSON_INC_ABOVE200,2.4880740810027127
ACS_PCT_PERSON_INC_BELOW99,2.4880740810027127
ACS_PER_CAPITA_INC,2.317369750257226
ACS_PCT_POV_AIAN,57.70274062295388
ACS_PCT_POV_ASIAN,25.56589654849874
ACS_PCT_POV_BLACK,14.741371246843137
ACS_PCT_POV_HISPANIC,6.955616874006173
ACS_PCT_POV_MULTI,8.124824618838275
ACS_PCT_POV_NHPI,87.84491628472547
ACS_PCT_POV_OTHER,26.44163314937798
ACS_PCT_POV_WHITE,2.928865400804415
ACS_PCT_HH_1FAM_FOOD_STMP,3.2071368440744554
ACS_PCT_HH_FOOD_STMP,2.545365260499486
ACS_PCT_HH_FOOD_STMP_BLW_POV,2.545365260499486
ACS_PCT_HH_NO_FD_STMP_BLW_POV,2.545365260499486
ACS_PCT_HH_PUB_ASSIST,2.545365260499486
ACS_PCT_COLLEGE_ASSOCIATE_DGR,2.2822935179122625
ACS_PCT_BACHELOR_DGR,2.2822935179122625
ACS_PCT_NO_WORK_NO_SCHL_16_19,3.769525769338696
ACS_PCT_GRADUATE_DGR,2.2822935179122625
ACS_PCT_HS_GRADUATE,2.2822935179122625
ACS_PCT_LT_HS,2.2822935179122625
ACS_PCT_POSTHS_ED,2.2822935179122625
ACS_PCT_VET_BACHELOR,3.273781685529885
ACS_PCT_VET_COLLEGE,3.273781685529885
ACS_PCT_VET_HS,3.273781685529885
ACS_MEDIAN_HOME_VALUE,4.908334112805163
ACS_MEDIAN_RENT,7.035123000654757
ACS_MDN_OWNER_COST_MORTGAGE,5.347956224862034
ACS_MDN_OWNER_COST_NO_MORTG,7.224534655317556
ACS_MEDIAN_YEAR_BUILT,3.1007389392947338
ACS_PCT_10UNITS,2.5208118978580116
ACS_PCT_1UP_OWNER_1ROOM,3.2679356468057246
ACS_PCT_1UP_PERS_1ROOM,2.545365260499486
ACS_PCT_1UP_RENT_1ROOM,2.907819661397437
ACS_PCT_HU_BUILT_1979,2.545365260499486
ACS_PCT_DIF_STATE,2.2565709475259563
ACS_PCT_GRP_QRT,2.2565709475259563
ACS_PCT_HH_1PERS,2.545365260499486
ACS_PCT_HH_ABOVE65,2.545365260499486
ACS_PCT_HH_ALONE_ABOVE65,2.545365260499486
ACS_PCT_HU_NO_FUEL,2.545365260499486
ACS_PCT_HU_UTILITY_GAS,2.545365260499486
ACS_PCT_HU_BOT_TANK_LP_GAS,2.545365260499486
ACS_PCT_HU_OIL,2.545365260499486
ACS_PCT_HU_WOOD,2.545365260499486
ACS_PCT_HU_COAL,2.545365260499486
ACS_PCT_HU_OTHER,2.545365260499486
ACS_PCT_HU_ELEC,2.545365260499486
ACS_PCT_HU_SOLAR,2.545365260499486
ACS_PCT_IN_COUNTY_MOVE,2.2565709475259563
ACS_PCT_IN_STATE_MOVE,2.2565709475259563
ACS_PCT_HU_KITCHEN,2.5208118978580116
ACS_PCT_HU_MOBILE_HOME,2.5208118978580116
ACS_PCT_OWNER_HU,2.545365260499486
ACS_PCT_OWNER_HU_COST_30PCT,3.2807969319988777
ACS_PCT_OWNER_HU_COST_50PCT,3.2807969319988777
ACS_PCT_OWNER_HU_CHILD,3.2679356468057246
ACS_PCT_HU_PLUMBING,2.5208118978580116
ACS_PCT_RENTER_HU_COST_30PCT,3.0984005238050694
ACS_PCT_RENTER_HU_COST_50PCT,3.0984005238050694
ACS_PCT_RENTER_HU,2.545365260499486
ACS_PCT_RENTER_HU_ABOVE65,2.907819661397437
ACS_PCT_RENTER_HU_CHILD,2.907819661397437
ACS_PCT_VACANT_HU,2.5208118978580116
ACS_PCT_COMMT_15MIN,2.428444486016275
ACS_PCT_COMMT_29MIN,2.428444486016275
ACS_PCT_COMMT_59MIN,2.428444486016275
ACS_PCT_COMMT_60MINUP,2.428444486016275
ACS_PCT_DRIVE_2WORK,2.428444486016275
ACS_PCT_HU_NO_VEH,2.545365260499486
ACS_PCT_PUB_COMMT_15MIN,41.28940230100084
ACS_PCT_PUB_COMMT_29MIN,41.28940230100084
ACS_PCT_PUB_COMMT_59MIN,41.28940230100084
ACS_PCT_PUB_COMMT_60MINUP,41.28940230100084
ACS_PCT_PUBL_TRANSIT,2.428444486016275
ACS_PCT_TAXICAB_2WORK,2.428444486016275
ACS_PCT_WALK_2WORK,2.428444486016275
ACS_PCT_WORK_NO_CAR,2.5769338696099524
ACS_PCT_MEDICAID_ANY,2.424936862781779
ACS_PCT_MEDICAID_ANY_BELOW64,2.4401365634645966
ACS_PCT_MEDICARE_ONLY,2.424936862781779
ACS_PCT_OTHER_INS,2.424936862781779
ACS_PCT_PVT_EMPL_DRCT,2.424936862781779
ACS_PCT_PVT_EMPL_DRCT_BELOW64,2.4401365634645966
ACS_PCT_PRIVATE_ANY,2.424936862781779
ACS_PCT_PRIVATE_ANY_BELOW64,2.4401365634645966
ACS_PCT_PRIVATE_EMPL,2.424936862781779
ACS_PCT_PRIVATE_EMPL_BELOW64,2.4401365634645966
ACS_PCT_PRIVATE_MDCR,2.424936862781779
ACS_PCT_PRIVATE_MDCR_35_64,2.4401365634645966
ACS_PCT_PRIVATE_OTHER,2.424936862781779
ACS_PCT_PRIVATE_OTHER_BELOW64,2.4401365634645966
ACS_PCT_PRIVATE_SELF,2.424936862781779
ACS_PCT_PRIVATE_SELF_BELOW64,2.4401365634645966
ACS_PCT_PUBLIC_ONLY,2.424936862781779
ACS_PCT_PUBLIC_OTHER,2.424936862781779
ACS_PCT_PUBLIC_OTHER_BELOW64,2.4401365634645966
ACS_PCT_SELF_MDCR_ABOVE35,2.424936862781779
ACS_PCT_TRICARE_VA,2.424936862781779
ACS_PCT_TRICARE_VA_BELOW64,2.4401365634645966
ACS_PCT_UNINSURED,2.424936862781779
ACS_PCT_UNINSURED_BELOW64,2.4401365634645966
CEN_AREALAND_SQM_TRACT,0.0
CEN_POPDENSITY_TRACT,1.6754746983444018
WUSTL_AVG_PM25,2.1221120568702645
HIFLD_DIST_UC_TRACT,0.16251987653166214
POS_DIST_ED_TRACT,0.15784304555233375
POS_DIST_MEDSURG_ICU_TRACT,0.16018146104199793
POS_DIST_TRAUMA_TRACT,0.16018146104199793
POS_DIST_PED_ICU_TRACT,0.1917500701524647
POS_DIST_OBSTETRICS_TRACT,0.15784304555233375
POS_DIST_CLINIC_TRACT,0.15667383780750163
POS_DIST_ALC_TRACT,0.15784304555233375
CEN_AIAN_NH_IND,0.0
