,STATE,TRACTFIPS,COUNTYFIPS,STATEFIPS,TERRITORY,ACS_TOT_POP_WT,ACS_TOT_POP_US_ABOVE1,ACS_TOT_POP_ABOVE5,ACS_TOT_POP_ABOVE15,ACS_TOT_POP_ABOVE16,ACS_TOT_POP_16_19,ACS_TOT_POP_ABOVE25,ACS_TOT_CIVIL_POP_ABOVE18,ACS_TOT_CIVIL_VET_POP_ABOVE25,ACS_TOT_OWN_CHILD_BELOW17,ACS_TOT_CIVILIAN_LABOR,ACS_TOT_CIVIL_EMPLOY_POP,ACS_TOT_WORKER_HH,ACS_TOT_WORKER_NWFH,ACS_TOT_CIVIL_NONINST_POP_POV,ACS_TOT_CIVIL_POP_POV,ACS_TOT_POP_POV,ACS_TOT_GRANDCHILDREN_GP,ACS_TOT_HU,ACS_TOT_HH,ACS_AVG_HH_SIZE,ACS_TOT_CIVIL_NONINST_POP,ACS_TOT_CIVIL_VET_POP,ACS_PCT_CHILD_DISAB,ACS_PCT_DISABLE,ACS_PCT_NONVET_DISABLE_18_64,ACS_PCT_VET_DISABLE_18_64,ACS_PCT_FEMALE,ACS_PCT_MALE,ACS_PCT_CTZ_ABOVE18,ACS_PCT_CTZ_NATURALIZED,ACS_PCT_CTZ_NONUS_BORN,ACS_PCT_CTZ_US_BORN,ACS_PCT_FOREIGN_BORN,ACS_PCT_NON_CITIZEN,ACS_PCT_NONCTN_1990,ACS_PCT_NONCTN_1999,ACS_PCT_NONCTN_2000,ACS_PCT_NONCTN_2010,ACS_PCT_API_LANG,ACS_PCT_ENGL_NOT_ALL,ACS_PCT_ENGL_NOT_WELL,ACS_PCT_ENGL_VERY_WELL,ACS_PCT_ENGL_WELL,ACS_PCT_ENGLISH,ACS_PCT_HH_LIMIT_ENGLISH,ACS_PCT_OTH_EURP,ACS_PCT_OTH_LANG,ACS_PCT_SPANISH,ACS_PCT_GULFWAR_1990_2001,ACS_PCT_GULFWAR_2001,ACS_PCT_GULFWAR_VIETNAM,ACS_PCT_VET,ACS_PCT_VIETNAM,ACS_MEDIAN_AGE,ACS_MEDIAN_AGE_FEMALE,ACS_MEDIAN_AGE_MALE,ACS_PCT_AGE_0_4,ACS_PCT_AGE_5_9,ACS_PCT_AGE_10_14,ACS_PCT_AGE_15_17,ACS_PCT_AGE_0_17,ACS_PCT_AGE_18_29,ACS_PCT_AGE_18_44,ACS_PCT_AGE_30_44,ACS_PCT_AGE_45_64,ACS_PCT_AGE_50_64,ACS_PCT_AGE_ABOVE65,ACS_PCT_AGE_ABOVE80,ACS_PCT_AIAN,ACS_PCT_AIAN_FEMALE,ACS_PCT_AIAN_MALE,ACS_PCT_AIAN_NONHISP,ACS_PCT_ASIAN,ACS_PCT_ASIAN_FEMALE,ACS_PCT_ASIAN_MALE,ACS_PCT_ASIAN_NONHISP,ACS_PCT_BLACK,ACS_PCT_BLACK_FEMALE,ACS_PCT_BLACK_MALE,ACS_PCT_BLACK_NONHISP,ACS_PCT_HISP_FEMALE,ACS_PCT_HISP_MALE,ACS_PCT_HISPANIC,ACS_PCT_MULT_RACE,ACS_PCT_MULT_RACE_FEMALE,ACS_PCT_MULT_RACE_MALE,ACS_PCT_MULT_RACE_NONHISP,ACS_PCT_NHPI,ACS_PCT_NHPI_FEMALE,ACS_PCT_NHPI_MALE,ACS_PCT_NHPI_NONHISP,ACS_PCT_OTHER_FEMALE,ACS_PCT_OTHER_MALE,ACS_PCT_OTHER_NONHISP,ACS_PCT_OTHER_RACE,ACS_PCT_WHITE,ACS_PCT_WHITE_FEMALE,ACS_PCT_WHITE_MALE,ACS_PCT_WHITE_NONHISP,ACS_PCT_HOUSEHOLDER_WHITE,ACS_PCT_HOUSEHOLDER_BLACK,ACS_PCT_HOUSEHOLDER_AIAN,ACS_PCT_HOUSEHOLDER_ASIAN,ACS_PCT_HOUSEHOLDER_NHPI,ACS_PCT_HOUSEHOLDER_OTHER,ACS_PCT_HOUSEHOLDER_MULT,ACS_PCT_AIAN_COMB,ACS_PCT_ASIAN_COMB,ACS_PCT_BLACK_COMB,ACS_PCT_NHPI_COMB,ACS_PCT_WHITE_COMB,ACS_PCT_HH_NO_COMP_DEV,ACS_PCT_HH_SMARTPHONE,ACS_PCT_HH_SMARTPHONE_ONLY,ACS_PCT_HH_TABLET,ACS_PCT_HH_TABLET_ONLY,ACS_PCT_HH_PC,ACS_PCT_HH_PC_ONLY,ACS_PCT_HH_OTHER_COMP,ACS_PCT_HH_OTHER_COMP_ONLY,ACS_PCT_HH_INTERNET,ACS_PCT_HH_INTERNET_NO_SUBS,ACS_PCT_HH_BROADBAND,ACS_PCT_HH_BROADBAND_ONLY,ACS_PCT_HH_BROADBAND_ANY,ACS_PCT_HH_CELLULAR,ACS_PCT_HH_CELLULAR_ONLY,ACS_PCT_HH_NO_INTERNET,ACS_PCT_HH_SAT_INTERNET,ACS_PCT_HH_DIAL_INTERNET_ONLY,ACS_PCT_CHILD_1FAM,ACS_PCT_CHILDREN_GRANDPARENT,ACS_PCT_GRANDP_RESPS_NO_P,ACS_PCT_GRANDP_RESPS_P,ACS_PCT_GRANDP_NO_RESPS,ACS_PCT_HH_KID_1PRNT,ACS_PCT_DIVORCED_F,ACS_PCT_DIVORCED_M,ACS_PCT_MARRIED_SP_AB_F,ACS_PCT_MARRIED_SP_AB_M,ACS_PCT_MARRIED_SP_PR_F,ACS_PCT_MARRIED_SP_PR_M,ACS_PCT_NVR_MARRIED_F,ACS_PCT_NVR_MARRIED_M,ACS_PCT_WIDOWED_F,ACS_PCT_WIDOWED_M,ACS_PCT_POP_SAME_SEX_UNMRD_P,ACS_PCT_POP_SAME_SEX_SPOUSE,ACS_PCT_ADMIN,ACS_PCT_ARMED_FORCES,ACS_PCT_ART,ACS_PCT_CONSTRUCT,ACS_PCT_EDUC,ACS_PCT_EMPLOYED,ACS_PCT_FINANCE,ACS_PCT_GOVT,ACS_PCT_INFORM,ACS_PCT_MANUFACT,ACS_PCT_NATURE,ACS_PCT_NOT_LABOR,ACS_PCT_OTHER,ACS_PCT_PROFESS,ACS_PCT_PVT_NONPROFIT,ACS_PCT_PVT_PROFIT,ACS_PCT_RETAIL,ACS_PCT_TRANSPORT,ACS_PCT_UNEMPLOY,ACS_PCT_VET_LABOR_FORCE_18_64,ACS_PCT_VET_UNEMPL_18_64,ACS_PCT_WHOLESALE,ACS_PCT_WORK_RES_F,ACS_PCT_WORK_RES_M,ACS_GINI_INDEX,ACS_MDN_GRNDPRNT_NO_PRNT_INC,ACS_MDN_GRNDPRNT_INC,ACS_MEDIAN_HH_INC_AIAN,ACS_MEDIAN_HH_INC_ASIAN,ACS_MEDIAN_HH_INC_BLACK,ACS_MEDIAN_HH_INC_HISP,ACS_MEDIAN_HH_INC_MULTI,ACS_MEDIAN_HH_INC_NHPI,ACS_MEDIAN_HH_INC_OTHER,ACS_MEDIAN_HH_INC_WHITE,ACS_MEDIAN_HH_INC,ACS_MEDIAN_INC_F,ACS_MEDIAN_INC_M,ACS_MEDIAN_NONVET_INC,ACS_MEDIAN_VET_INC,ACS_PCT_INC50_ABOVE65,ACS_PCT_INC50_BELOW17,ACS_PCT_HEALTH_INC_BELOW137,ACS_PCT_HEALTH_INC_138_199,ACS_PCT_HEALTH_INC_200_399,ACS_PCT_HEALTH_INC_ABOVE400,ACS_PCT_HH_INC_10000,ACS_PCT_HH_INC_100000,ACS_PCT_HH_INC_14999,ACS_PCT_HH_INC_24999,ACS_PCT_HH_INC_49999,ACS_PCT_HH_INC_99999,ACS_PCT_INC50,ACS_PCT_NONVET_POV_18_64,ACS_PCT_VET_POV_18_64,ACS_PCT_PERSON_INC_100_124,ACS_PCT_PERSON_INC_125_199,ACS_PCT_PERSON_INC_ABOVE200,ACS_PCT_PERSON_INC_BELOW99,ACS_PER_CAPITA_INC,ACS_PCT_POV_AIAN,ACS_PCT_POV_ASIAN,ACS_PCT_POV_BLACK,ACS_PCT_POV_HISPANIC,ACS_PCT_POV_MULTI,ACS_PCT_POV_NHPI,ACS_PCT_POV_OTHER,ACS_PCT_POV_WHITE,ACS_PCT_HH_1FAM_FOOD_STMP,ACS_PCT_HH_FOOD_STMP,ACS_PCT_HH_FOOD_STMP_BLW_POV,ACS_PCT_HH_NO_FD_STMP_BLW_POV,ACS_PCT_HH_PUB_ASSIST,ACS_PCT_COLLEGE_ASSOCIATE_DGR,ACS_PCT_BACHELOR_DGR,ACS_PCT_NO_WORK_NO_SCHL_16_19,ACS_PCT_GRADUATE_DGR,ACS_PCT_HS_GRADUATE,ACS_PCT_LT_HS,ACS_PCT_POSTHS_ED,ACS_PCT_VET_BACHELOR,ACS_PCT_VET_COLLEGE,ACS_PCT_VET_HS,ACS_MEDIAN_HOME_VALUE,ACS_MEDIAN_RENT,ACS_MDN_OWNER_COST_MORTGAGE,ACS_MDN_OWNER_COST_NO_MORTG,ACS_MEDIAN_YEAR_BUILT,ACS_PCT_10UNITS,ACS_PCT_1UP_OWNER_1ROOM,ACS_PCT_1UP_PERS_1ROOM,ACS_PCT_1UP_RENT_1ROOM,ACS_PCT_HU_BUILT_1979,ACS_PCT_DIF_STATE,ACS_PCT_GRP_QRT,ACS_PCT_HH_1PERS,ACS_PCT_HH_ABOVE65,ACS_PCT_HH_ALONE_ABOVE65,ACS_PCT_HU_NO_FUEL,ACS_PCT_HU_UTILITY_GAS,ACS_PCT_HU_BOT_TANK_LP_GAS,ACS_PCT_HU_OIL,ACS_PCT_HU_WOOD,ACS_PCT_HU_COAL,ACS_PCT_HU_OTHER,ACS_PCT_HU_ELEC,ACS_PCT_HU_SOLAR,ACS_PCT_IN_COUNTY_MOVE,ACS_PCT_IN_STATE_MOVE,ACS_PCT_HU_KITCHEN,ACS_PCT_HU_MOBILE_HOME,ACS_PCT_OWNER_HU,ACS_PCT_OWNER_HU_COST_30PCT,ACS_PCT_OWNER_HU_COST_50PCT,ACS_PCT_OWNER_HU_CHILD,ACS_PCT_HU_PLUMBING,ACS_PCT_RENTER_HU_COST_30PCT,ACS_PCT_RENTER_HU_COST_50PCT,ACS_PCT_RENTER_HU,ACS_PCT_RENTER_HU_ABOVE65,ACS_PCT_RENTER_HU_CHILD,ACS_PCT_VACANT_HU,ACS_PCT_COMMT_15MIN,ACS_PCT_COMMT_29MIN,ACS_PCT_COMMT_59MIN,ACS_PCT_COMMT_60MINUP,ACS_PCT_DRIVE_2WORK,ACS_PCT_HU_NO_VEH,ACS_PCT_PUB_COMMT_15MIN,ACS_PCT_PUB_COMMT_29MIN,ACS_PCT_PUB_COMMT_59MIN,ACS_PCT_PUB_COMMT_60MINUP,ACS_PCT_PUBL_TRANSIT,ACS_PCT_TAXICAB_2WORK,ACS_PCT_WALK_2WORK,ACS_PCT_WORK_NO_CAR,ACS_PCT_MEDICAID_ANY,ACS_PCT_MEDICAID_ANY_BELOW64,ACS_PCT_MEDICARE_ONLY,ACS_PCT_OTHER_INS,ACS_PCT_PVT_EMPL_DRCT,ACS_PCT_PVT_EMPL_DRCT_BELOW64,ACS_PCT_PRIVATE_ANY,ACS_PCT_PRIVATE_ANY_BELOW64,ACS_PCT_PRIVATE_EMPL,ACS_PCT_PRIVATE_EMPL_BELOW64,ACS_PCT_PRIVATE_MDCR,ACS_PCT_PRIVATE_MDCR_35_64,ACS_PCT_PRIVATE_OTHER,ACS_PCT_PRIVATE_OTHER_BELOW64,ACS_PCT_PRIVATE_SELF,ACS_PCT_PRIVATE_SELF_BELOW64,ACS_PCT_PUBLIC_ONLY,ACS_PCT_PUBLIC_OTHER,ACS_PCT_PUBLIC_OTHER_BELOW64,ACS_PCT_SELF_MDCR_ABOVE35,ACS_PCT_TRICARE_VA,ACS_PCT_TRICARE_VA_BELOW64,ACS_PCT_UNINSURED,ACS_PCT_UNINSURED_BELOW64,CEN_AREALAND_SQM_TRACT,CEN_POPDENSITY_TRACT,WUSTL_AVG_PM25,HIFLD_DIST_UC_TRACT,POS_DIST_ED_TRACT,POS_DIST_MEDSURG_ICU_TRACT,POS_DIST_TRAUMA_TRACT,POS_DIST_PED_ICU_TRACT,POS_DIST_OBSTETRICS_TRACT,POS_DIST_CLINIC_TRACT,POS_DIST_ALC_TRACT,CEN_AIAN_NH_IND,COUNTY
10,Florida,12071779599,12071,12,0,4111,4070,3892,3435,3388,187,2956,3282,271,703,1984,1876,1842,1708,4019,3216,4029,74,1853,1537,2,4049,274,4,14,10,18,51,48,73,11,12,78,21,8,0,1,2,4,1,2,4,16,5,71,7,5,0,21,20,18,14,8,35,44,45,43,5,4,5,3,18,14,32,17,26,20,22,5,0,48,51,0,2,57,42,2,14,50,49,14,50,49,24,5,50,49,2,0,57,42,0,49,50,0,3,73,50,49,55,76,13,0,2,0,2,4,0,3,16,0,78,7,84,8,60,0,79,5,3,0,84,3,70,9,84,74,10,11,6,0,34,9,18,27,54,17,17,13,5,5,41,45,27,34,10,3,0,0,4,0,11,7,20,94,7,11,1,5,1,42,5,13,6,75,12,5,5,73,4,2,27,25,0,50653,70942,53572,96185,55965,63144,78408,30000,60737,68365,62473,25986,38621,30577,46360,3,7,21,12,31,35,6,25,4,9,23,30,6,13,9,4,14,66,13,34271,16,12,19,16,14,19,17,12,26,13,5,7,14,29,19,1,11,28,11,59,31,36,32,255177,1313,1620,559,1967,17,2,3,4,39,2,2,28,37,13,2,4,0,0,0,0,0,92,0,8,3,1,9,65,26,11,23,0,54,27,34,18,33,15,21,36,32,8,93,6,8,19,34,37,1,2,1,2,14,16,8,6,1,1,54,61,36,46,3,0,0,0,9,12,26,0,0,4,1,1,12,15,10,4287,7,4,4,4,15,14,5,3,8,0,Aguas Buenas Municipio
11,Georgia,13131048398,13130,13,0,3761,3717,3528,3021,2967,209,2502,2846,220,768,1860,1756,1720,1600,3647,2765,3661,84,1548,1369,2,3691,223,4,13,10,19,51,48,72,4,5,89,10,5,0,0,1,2,2,0,1,8,2,86,2,2,1,7,25,22,15,7,33,38,39,36,6,6,6,3,23,16,36,19,25,19,14,3,0,47,52,0,3,56,43,3,32,51,48,31,49,50,9,3,50,49,2,0,46,53,0,47,52,0,2,57,51,48,52,60,31,0,3,0,2,2,1,4,33,0,60,8,84,9,61,0,76,4,2,0,83,2,67,7,83,74,11,13,7,0,35,9,19,29,50,19,15,11,5,4,42,45,31,37,8,2,0,0,5,0,9,6,20,94,6,14,2,10,1,36,4,12,5,73,11,6,5,75,4,2,23,21,0,47333,63582,36455,105363,58621,70985,88150,40341,56111,74273,66021,27489,41501,32898,49172,3,8,22,11,29,35,7,27,4,9,22,29,7,14,9,4,14,65,15,32663,21,12,19,18,18,18,20,12,26,12,6,8,13,27,19,2,12,27,12,59,30,36,32,205575,1085,1452,474,1969,10,1,2,3,35,2,2,27,27,9,0,37,4,0,0,0,0,55,0,6,4,2,9,63,20,8,29,2,45,22,36,13,38,11,23,35,30,10,93,6,7,16,33,41,2,2,1,3,14,15,5,5,1,1,58,61,44,51,2,0,0,0,6,7,22,0,0,2,2,2,13,15,20,1924,7,6,5,5,16,23,6,4,10,0,Aibonito Municipio
12,Guam,66010955596,66010,66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Aiken County
13,Hawaii,15003674581,15003,15,0,3080,3041,2889,2525,2492,131,2161,2329,206,493,1532,1463,1474,1426,2929,2288,2996,112,1185,1015,3,2961,211,2,11,7,16,49,50,72,10,13,79,20,7,1,1,2,3,21,0,3,14,6,74,5,1,0,2,19,27,10,10,35,41,42,39,6,5,5,3,20,16,35,19,25,19,18,5,0,45,54,0,37,54,45,36,1,35,64,1,48,51,10,23,49,50,18,10,48,51,9,45,54,0,1,25,45,54,22,30,2,0,39,8,1,16,2,55,3,25,42,7,85,6,66,0,80,4,2,0,87,2,76,7,87,78,9,9,4,0,25,16,6,22,70,18,11,9,5,5,44,46,29,36,9,2,0,0,9,4,15,6,21,95,6,21,1,2,1,34,4,10,7,63,11,6,4,78,4,2,41,38,0,33167,123344,11250,94238,80895,90677,97757,86839,84644,94591,88534,32534,45718,36917,53606,3,5,13,8,28,49,4,41,2,5,16,29,4,9,7,2,9,78,9,38335,27,7,14,12,9,16,10,9,19,10,3,5,11,31,22,2,11,26,7,65,33,37,28,668047,1833,2532,611,1973,22,7,9,12,55,3,3,23,38,10,57,2,1,0,0,0,0,33,3,8,0,2,0,59,29,12,27,1,51,25,40,17,37,11,24,34,31,9,85,8,3,17,40,38,6,3,5,4,13,15,4,7,2,2,64,69,45,56,6,0,2,2,5,6,23,0,0,2,5,6,3,4,13,10309,0,11,5,5,18,42,6,2,42,0,Aitkin County
14,Idaho,16030025041,16029,16,0,3847,3802,3596,3040,2982,214,2511,2862,251,883,1872,1794,1759,1632,3769,2807,3778,56,1617,1423,2,3798,253,4,13,11,19,49,50,72,2,3,93,6,3,0,0,0,1,0,0,1,6,1,89,1,1,0,7,20,18,13,9,38,38,39,38,6,6,7,4,24,15,34,18,24,18,16,3,1,47,52,1,1,61,38,1,0,31,68,0,50,49,11,4,49,50,2,0,56,43,0,47,52,0,3,88,49,50,82,91,0,1,1,0,2,3,2,2,1,0,92,6,83,6,63,0,81,6,2,0,86,3,66,8,85,75,11,10,11,0,22,5,19,27,53,12,13,12,3,3,52,53,23,29,7,2,0,0,5,0,9,8,22,95,5,14,1,9,5,37,4,9,7,69,11,4,4,75,3,2,39,33,0,50703,67698,47590,91471,43603,57073,64871,0,54101,63790,62725,22848,39422,30188,43499,2,5,19,12,34,33,4,24,4,9,23,33,5,12,8,4,15,67,12,30291,25,16,23,18,14,33,18,10,21,8,3,7,9,35,19,2,9,26,8,65,29,41,29,252340,944,1348,409,1946,5,1,2,4,41,4,1,25,30,10,0,49,6,1,7,0,0,33,0,8,3,1,7,71,19,7,30,1,43,18,28,14,36,10,37,36,20,5,94,3,12,16,30,40,0,2,2,1,13,14,5,6,1,1,61,66,44,52,2,0,0,0,9,11,20,0,0,4,1,1,10,12,181,1823,7,9,5,7,20,26,5,3,14,0,Alachua County
15,Illinois,17079766654,17079,17,0,3894,3851,3663,3173,3122,202,2660,3014,167,777,2031,1910,1863,1741,3800,2938,3803,62,1645,1495,2,3839,169,3,11,9,16,51,48,72,6,7,86,13,6,0,1,1,2,2,0,2,13,4,78,4,4,1,12,17,17,14,5,36,39,40,38,5,5,6,3,22,16,36,19,25,19,15,4,0,47,52,0,5,55,44,5,16,48,51,16,48,51,16,4,50,49,2,0,52,47,0,48,51,0,5,68,50,49,59,71,16,0,4,0,4,2,0,5,17,0,72,9,82,8,60,0,76,4,2,0,84,2,68,7,84,74,11,12,7,0,32,7,15,28,56,17,12,10,3,3,43,45,33,38,8,2,0,0,3,0,8,5,23,93,6,12,1,11,1,35,4,11,9,73,10,6,6,78,5,2,39,35,0,61839,76527,52291,119179,53994,74777,84730,0,67142,79629,72457,29402,45829,36726,49221,3,7,19,10,28,41,6,31,4,8,19,29,6,12,8,3,12,70,13,36470,14,11,23,15,14,18,15,12,28,14,6,6,14,28,20,2,13,26,10,62,27,36,35,225368,1108,1732,705,1669,12,1,2,3,67,1,2,29,29,11,0,77,4,0,0,0,0,16,0,8,2,3,2,65,23,10,29,2,45,22,34,17,32,9,24,31,32,11,84,11,6,12,35,46,10,1,3,5,18,20,5,4,1,1,63,67,49,58,3,0,0,0,5,6,24,0,0,3,0,0,6,7,17,6814,8,6,3,3,9,15,3,3,7,0,Alamance County
16,Indiana,18090100608,18089,18,0,3948,3904,3702,3182,3128,216,2633,3020,216,819,1992,1898,1843,1760,3825,2920,3827,65,1712,1534,2,3890,219,5,14,12,20,50,49,74,1,2,94,5,3,0,0,0,1,1,0,1,5,1,91,1,1,0,4,17,16,17,7,35,38,40,37,6,6,6,3,23,16,35,18,25,19,16,3,0,49,50,0,2,57,42,2,10,44,55,10,47,52,7,3,50,49,2,0,51,48,0,43,56,0,2,81,51,48,77,83,10,0,1,0,1,2,0,2,12,0,84,10,80,10,57,1,73,5,2,0,82,2,63,8,81,71,13,15,7,0,33,7,24,29,45,17,15,13,3,3,44,46,28,35,9,2,0,0,3,0,9,6,22,94,4,10,1,18,1,36,4,8,9,75,11,5,5,76,4,2,37,33,0,60152,67354,109203,91291,47999,64327,63141,0,53162,62358,59534,24672,39488,31268,41599,3,8,21,11,33,33,6,22,4,9,24,32,6,14,9,4,14,66,14,29653,19,15,25,19,20,16,18,12,22,10,5,8,11,28,16,2,9,33,11,54,20,34,44,144667,860,1127,420,1804,7,1,1,2,60,2,2,29,28,11,0,60,7,0,2,0,0,28,0,8,3,3,4,68,16,6,28,2,42,20,31,15,33,11,30,37,25,6,94,7,14,22,30,32,1,1,2,3,16,18,5,5,1,1,62,65,48,57,2,0,0,0,5,5,23,0,0,4,0,0,8,9,21,1872,8,5,4,4,18,16,4,4,7,0,Alameda County
17,Iowa,19111045198,19110,19,0,3515,3474,3297,2839,2795,192,2349,2700,196,748,1871,1798,1741,1654,3403,2605,3405,34,1571,1421,2,3467,199,4,12,9,17,50,49,74,2,2,94,5,3,0,0,0,1,1,0,1,4,1,91,1,1,0,4,17,15,13,7,37,39,41,38,6,6,6,3,22,16,34,17,25,19,17,4,0,51,48,0,2,57,42,2,3,40,59,3,48,51,6,2,49,50,2,0,46,53,0,46,53,0,1,89,50,49,85,92,3,0,1,0,0,1,0,2,4,0,92,10,79,8,58,1,75,6,1,0,82,3,63,8,82,72,12,13,8,0,28,4,24,24,50,13,12,11,2,2,50,50,25,33,9,2,0,0,3,0,7,6,23,95,6,13,1,15,4,33,4,7,8,70,11,5,4,80,3,2,42,36,0,65973,73700,68818,85770,43591,60083,66121,58238,57460,64032,62918,26776,41447,33816,41412,2,6,18,10,33,37,5,25,4,8,22,33,5,11,7,4,13,70,11,32199,20,10,28,18,18,22,19,10,27,10,4,6,11,32,18,1,8,31,7,60,22,35,42,152084,792,1256,505,1742,9,1,1,2,67,2,3,29,29,12,0,58,15,0,1,0,0,22,0,7,3,2,3,71,16,5,28,2,38,18,28,18,29,9,42,36,17,4,94,5,26,25,28,18,0,1,3,2,15,18,4,6,1,1,66,70,50,60,2,0,0,0,6,7,22,0,0,6,0,0,4,5,62,1516,7,16,5,6,8,21,6,4,14,0,Alamosa County
18,Kansas,20119428662,20119,20,0,3513,3470,3285,2805,2757,193,2306,2640,204,774,1815,1741,1712,1622,3396,2559,3411,45,1544,1377,2,3442,208,4,13,11,20,50,49,72,2,3,92,7,4,0,0,1,1,1,0,1,7,2,87,2,1,0,8,19,20,13,8,36,38,39,37,6,6,6,4,23,16,35,18,24,18,16,4,0,47,52,0,2,54,45,2,6,40,59,5,49,50,12,4,50,49,3,0,49,50,0,46,53,0,2,82,50,49,74,85,6,0,2,0,2,3,2,3,7,0,87,8,82,9,59,0,76,5,2,0,83,3,66,8,83,73,11,13,7,0,28,5,25,28,45,14,13,11,3,3,49,50,26,32,8,2,0,0,4,0,8,6,24,95,5,15,1,12,3,33,4,8,7,69,10,5,4,78,3,2,48,41,0,61204,77133,48454,94594,55923,63665,68365,83750,58028,66250,64135,26251,42181,33316,44079,2,6,19,11,33,35,5,25,4,9,23,32,5,12,9,4,14,68,12,31712,17,13,23,17,16,13,16,10,18,7,4,8,8,32,20,2,11,26,9,63,27,38,33,157820,886,1355,534,1865,7,1,2,3,60,2,2,29,28,11,0,63,8,0,1,0,0,24,0,8,3,4,4,66,17,6,30,3,40,18,33,17,32,11,40,37,17,3,95,5,23,29,29,18,0,1,2,2,11,12,5,5,1,2,65,69,49,58,2,0,0,0,6,8,19,0,0,5,1,2,9,10,98,1796,7,15,3,6,13,28,5,3,17,0,Albany County
19,Kentucky,21112445158,21112,21,0,3416,3377,3207,2776,2731,177,2323,2634,194,654,1613,1526,1483,1423,3303,2550,3310,74,1527,1338,2,3353,197,6,18,16,25,50,49,75,1,2,95,4,2,0,0,0,1,0,0,0,3,1,94,1,1,0,2,20,17,15,7,37,39,41,38,6,6,6,3,22,16,34,18,26,20,16,3,0,45,54,0,1,58,41,1,8,45,54,8,44,55,3,2,47,52,2,0,51,48,0,42,57,0,1,86,50,49,84,88,7,0,1,0,0,1,0,1,9,0,89,12,78,10,56,1,69,5,2,0,80,2,62,9,80,69,13,16,7,0,32,10,32,28,39,17,16,13,4,4,46,48,25,32,10,3,0,0,4,0,8,6,24,93,5,15,1,14,2,41,4,8,7,71,11,6,6,69,5,2,25,24,0,47256,59096,31940,98814,48228,60336,62638,0,47318,55183,53532,22892,34618,27873,39935,3,11,26,12,32,29,8,20,5,10,24,29,8,17,12,5,14,61,18,28137,24,15,26,24,24,14,23,17,28,14,8,9,14,29,13,2,9,33,13,52,20,35,43,146338,780,1171,397,1885,6,1,2,3,49,2,3,28,30,11,0,34,6,0,3,0,0,53,0,7,3,4,12,67,17,7,28,3,42,21,32,15,34,12,30,37,24,6,95,7,18,22,33,25,1,1,2,2,24,27,6,6,1,1,55,57,42,50,3,0,0,0,4,5,32,0,0,3,1,1,5,6,30,1515,7,11,5,6,19,20,8,3,13,0,Albemarle County
20,Louisiana,22060545263,22060,22,0,3360,3319,3141,2700,2657,170,2261,2556,169,673,1560,1458,1430,1381,3254,2475,3265,83,1494,1262,2,3283,172,5,15,13,20,51,48,75,1,2,95,4,2,0,0,0,1,1,0,0,4,1,92,1,2,0,3,21,19,13,6,36,38,39,37,6,6,6,3,22,16,35,19,25,19,15,3,0,49,50,0,1,56,43,1,34,51,48,34,46,53,5,2,50,49,1,0,48,51,0,46,53,0,1,59,50,49,56,62,32,0,1,0,1,1,1,2,35,0,61,12,80,13,52,1,66,4,2,0,77,3,58,7,77,68,14,19,8,0,42,11,25,31,42,20,15,12,5,4,38,41,33,39,10,2,0,0,5,0,10,7,24,92,4,15,1,7,3,41,5,9,6,71,11,5,7,72,5,2,34,30,0,60807,54594,39898,87995,40018,67822,70046,76786,41370,62566,52876,23846,37321,28669,44543,3,13,28,12,28,31,9,21,6,12,22,26,9,19,12,5,14,59,20,29182,20,15,28,22,22,17,23,14,32,16,9,10,17,27,15,2,9,33,14,51,23,35,41,176700,904,1334,392,1875,6,1,2,3,52,1,2,31,29,12,0,33,2,0,0,0,0,63,0,7,3,5,12,65,19,8,27,4,51,27,34,14,35,16,29,37,25,8,93,9,10,22,35,30,1,2,2,4,25,28,6,6,1,1,51,54,38,45,2,0,0,0,5,6,33,0,0,2,1,1,8,10,31,2329,7,10,3,5,15,14,6,3,8,0,Alcona County
