STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
Florida,11872,"Burnt Store Marina, FL",12,,"4,191","3,220","11,047,450",4.27,"825,900",0.32,982.55
Florida,11890,"Bushnell, FL",12,,"3,664","2,061","7,310,388",2.82,0,0,"1,298.11"
Florida,13510,"Cape Coral, FL",12,,"599,242","316,907","859,359,686",331.8,"101,715,750",39.27,"1,806.03"
Florida,17776,"Clewiston, FL",12,,"12,849","4,761","14,371,136",5.55,"389,366",0.15,"2,315.67"
Florida,20890,"Crawfordville, FL",12,,"10,124","3,912","25,172,054",9.72,0,0,"1,041.67"
Florida,21043,"Crestview, FL",12,,"46,816","18,409","103,195,003",39.84,"1,796,281",0.69,"1,174.99"
Florida,21529,"Crystal River, FL",12,,"7,834","4,847","36,480,222",14.09,"2,979,925",1.15,556.19
Florida,21893,"Dade City, FL",12,,"20,304","7,856","37,288,780",14.4,"973,310",0.38,"1,410.27"
Florida,22612,"Daytona Beach--Palm Coast--Port Orange, FL",12,,"402,126","216,962","550,006,605",212.36,"31,608,090",12.2,"1,893.62"
Florida,22933,"DeFuniak Springs, FL",12,,"6,977","3,065","18,569,808",7.17,"691,086",0.27,973.1
Florida,23311,"Deltona, FL",12,,"210,712","86,104","282,265,175",108.98,"12,579,177",4.86,"1,933.44"
Florida,29608,"Fernandina Beach--Yulee, FL",12,,"50,805","26,223","130,935,030",50.55,"2,945,658",1.14,"1,004.96"
Florida,30790,"Fort Meade, FL",12,,"4,874","2,381","6,007,348",2.32,"68,544",0.03,"2,101.36"
Florida,31150,"Four Corners, FL",12,,"92,396","50,820","218,809,161",84.48,"10,504,530",4.06,"1,093.67"
Florida,31978,"Frostproof, FL",12,,"8,092","3,668","19,406,603",7.49,"5,010,513",1.93,"1,079.95"
