,STATE,UACE,NAME,STATEFP,PART,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN
2320,Texas,25498,Eagle Pass,48,0,"54,083","18,705","54,765,192",21.14,"364,285",0.14,"2,557.73"
2321,Texas,26254,Edna,48,0,"5,910","2,619","9,569,304",3.69,0,0.0,"1,599.58"
2322,Texas,26389,El Campo,48,0,"13,286","5,171","20,274,190",7.83,"19,527",0.01,"1,697.26"
2323,Texas,26659,Elgin,48,0,"10,779","3,823","12,346,592",4.77,0,0.0,"2,261.15"
2324,Texas,27253,El Paso,48,P,"823,732","304,916","633,857,299",244.73,"1,963,004",0.76,"3,365.83"
2325,Texas,27290,Elsa,48,0,"12,984","4,221","16,201,322",6.26,0,0.0,"2,075.66"
2326,Texas,27658,Ennis,48,0,"19,763","7,195","32,161,351",12.42,"904,179",0.35,"1,591.54"
2327,Texas,28522,Fabens,48,0,"7,094","2,476","4,379,984",1.69,"58,739",0.02,"4,194.85"
2328,Texas,29008,Falfurrias,48,0,"4,497","2,027","5,662,317",2.19,0,0.0,"2,056.96"
2329,Texas,30088,Floresville,48,0,"6,313","2,449","9,978,132",3.85,"15,265",0.01,"1,638.64"
2330,Texas,30439,Forney,48,0,"41,112","13,983","50,965,415",19.68,"183,299",0.07,"2,089.25"
2331,Texas,30952,Fort Stockton,48,0,"8,551","3,658","15,502,282",5.99,0,0.0,"1,428.63"
2332,Texas,31573,Fredericksburg,48,0,"11,641","6,225","20,276,772",7.83,"14,339",0.01,"1,486.93"
2333,Texas,32221,Gainesville,48,0,"16,544","6,734","24,748,391",9.56,"26,645",0.01,"1,731.38"
2334,Texas,32491,Galveston--Texas City,48,0,"191,863","92,177","282,260,597",108.98,"7,938,926",3.07,"1,760.51"
2335,Texas,32707,Gatesville,48,0,"15,565","4,000","26,353,164",10.18,"31,120",0.01,"1,529.73"
2336,Texas,33301,Gilmer,48,0,"5,084","2,208","10,594,732",4.09,"32,501",0.01,"1,242.83"
2337,Texas,33868,Gonzales,48,0,"6,953","2,902","11,282,946",4.36,0,0.0,"1,596.05"
2338,Texas,34138,Graham,48,0,"8,585","3,825","12,174,354",4.7,806,0.0,"1,826.38"
2339,Texas,34165,Granbury,48,0,"29,706","14,236","56,633,516",21.87,"4,745,502",1.83,"1,358.53"
2340,Texas,35488,Greenville,48,0,"27,054","11,244","44,813,281",17.3,"62,711",0.02,"1,563.59"
2341,Texas,35974,Gun Barrel City,48,0,"18,309","10,004","47,670,862",18.41,"62,287",0.02,994.74
2342,Texas,36892,Harlingen,48,0,"118,838","46,951","140,267,207",54.16,"1,882,097",0.73,"2,194.30"
2343,Texas,37980,Heartland,48,0,"9,841","3,065","7,165,776",2.77,"142,320",0.05,"3,556.92"
2344,Texas,38242,Hempstead,48,0,"4,890","2,095","7,844,261",3.03,"2,782",0.0,"1,614.56"
2345,Texas,38323,Henderson,48,0,"14,924","4,608","27,194,749",10.5,"142,220",0.05,"1,421.34"
2346,Texas,38431,Hereford,48,0,"15,520","5,727","17,280,260",6.67,0,0.0,"2,326.16"
2347,Texas,38944,Hillsboro,48,0,"8,068","3,301","15,403,340",5.95,"58,410",0.02,"1,356.59"
2348,Texas,39781,Hondo,48,0,"6,006","2,403","7,863,462",3.04,"11,836",0.0,"1,978.20"
2349,Texas,40153,Hornsby Bend,48,0,"11,337","3,772","9,835,212",3.8,0,0.0,"2,985.47"
2350,Texas,40189,Horseshoe Bay,48,0,"5,583","4,331","21,962,211",8.48,"259,131",0.1,658.4
2351,Texas,40429,Houston,48,0,"5,853,575","2,232,438","4,539,436,477","1,752.69","66,558,913",25.7,"3,339.77"
2352,Texas,40807,Huntsville,48,0,"43,415","15,643","44,021,442",17,"741,871",0.29,"2,554.31"
2353,Texas,41644,Iowa Park,48,0,"6,454","2,785","7,925,550",3.06,"187,040",0.07,"2,109.10"
2354,Texas,42427,Jacksonville,48,0,"13,881","5,546","27,309,380",10.54,0,0.0,"1,316.46"
2355,Texas,42751,Jasper,48,0,"7,000","3,373","22,111,605",8.54,"13,407",0.01,819.93
2356,Texas,44074,Kaufman,48,0,"6,127","2,290","7,944,797",3.07,"4,313",0.0,"1,997.39"
2357,Texas,44614,Kermit,48,0,"6,381","2,643","7,225,148",2.79,0,0.0,"2,287.39"
2358,Texas,44641,Kerrville,48,0,"31,844","14,956","56,518,765",21.82,"435,135",0.17,"1,459.26"
2359,Texas,44938,Kilgore,48,0,"16,719","6,776","56,365,620",21.76,"56,215",0.02,768.23
2360,Texas,44992,Killeen,48,0,"257,222","98,214","260,093,903",100.42,"715,102",0.28,"2,561.39"
2361,Texas,45181,Kingsland,48,0,"8,093","4,878","26,779,704",10.34,"158,083",0.06,782.71
2362,Texas,45316,Kingsville,48,0,"24,945","11,291","32,856,175",12.69,"6,585",0.0,"1,966.37"
2363,Texas,45761,Krum,48,0,"5,876","2,062","8,470,367",3.27,"6,508",0.0,"1,796.71"
2364,Texas,46180,Lago Vista (Travis County),48,0,"8,463","4,303","21,690,317",8.37,0,0.0,"1,010.55"
2365,Texas,46342,La Grange,48,0,"5,020","2,296","9,892,476",3.82,"8,895",0.0,"1,314.31"
2366,Texas,46639,Lake Conroe Eastshore,48,0,"12,188","5,755","20,059,231",7.74,"85,746",0.03,"1,573.68"
2367,Texas,46666,Lake Conroe Westshore,48,0,"29,322","14,134","49,897,496",19.27,"6,270,961",2.42,"1,521.99"
2368,Texas,46801,Lake Jackson,48,0,"56,054","24,765","88,959,801",34.35,"5,038,143",1.95,"1,631.96"
2369,Texas,47395,Lamesa,48,0,"8,731","3,952","11,251,019",4.34,"23,217",0.01,"2,009.88"
2370,Texas,47422,Lampasas,48,0,"6,674","3,004","10,140,685",3.92,"24,267",0.01,"1,704.58"
2371,Texas,47854,Laredo,48,0,"251,462","79,974","166,290,032",64.2,"1,566,734",0.6,"3,916.55"
2372,Texas,49204,Levelland,48,0,"12,601","5,391","16,589,128",6.41,"5,302",0.0,"1,967.34"
2373,Texas,49690,Liberty,48,0,"6,387","2,607","13,918,964",5.37,0,0.0,"1,188.47"
2374,Texas,50014,Lindale--Hideaway,48,0,"11,770","5,046","31,849,222",12.3,"1,346,264",0.52,957.14
2375,Texas,50365,Littlefield,48,0,"5,626","2,573","7,763,061",3,0,0.0,"1,877.00"
2376,Texas,50662,Livingston,48,0,"5,592","2,377","17,852,551",6.89,"28,894",0.01,811.27
2377,Texas,50743,Lockhart,48,0,"12,886","5,022","21,561,023",8.32,"16,001",0.01,"1,547.91"
2378,Texas,51256,Longview,48,0,"107,099","45,766","233,762,595",90.26,"917,375",0.35,"1,186.61"
2379,Texas,51877,Lubbock,48,0,"272,280","116,963","275,248,143",106.27,"2,166,424",0.84,"2,562.06"
2380,Texas,51985,Lufkin,48,0,"41,551","17,728","95,156,630",36.74,"567,033",0.22,"1,130.94"
2381,Texas,52039,Luling,48,0,"5,391","2,218","7,275,021",2.81,0,0.0,"1,919.26"
2382,Texas,52390,McAllen,48,0,"779,553","269,683","844,899,606",326.22,"1,681,658",0.65,"2,389.67"
